filename$LOC$class_value$message
.github/workflows/ubuntu.yml$          name: debian$0$"maybe call it "".deb packages"" or something? This ""debian"" looks confusing _ https://github.com/crondaemon/wireshark/actions/runs/48235133_"
.github/workflows/ubuntu.yml$          name: debian$0$"I was not really inspired when I choose this name. I think I'll go with ""packages"" for all the platforms._"
ui/qt/capture_file_dialog.cpp$                    .arg(ti_tm->tm_year + 1900, 4, QChar('0'))$0$"That doesn't work. _  _ The compiler will *not* say ""OK, there's a version of the arg method that takes an integral value, a field width, a base, and a fill character, but you only passed three arguments, so I'll match up the int first argument with the int ""a"" argument, match up the second int argument with the int ""fieldWidth"" argument, and match up the third QChar argument with the QChar ""fillChar"" argument, and default the int ""base"" argument to 10"", it just matches the QChar argument with ""base"" and converts it to an int. _  _ See bug 16429 - https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=16429. _  _ That applies to all the added .arg calls.  A fix is in progress._"
ui/qt/main_status_bar.cpp$    push_msg = QString::vasprintf(msg_format, ap)_$0$This was introduced in Qt 5.5._
ui/qt/widgets/syntax_line_edit.cpp$            std::string token_str(token.toStdString())_$0$Why std::string? Why not QString? _  _ What about improving with something like this to avoid doing a .c_str() several times: _  _     const char *token_str = token.section('.', 0, 0).toUtf8().constData()__
ui/qt/widgets/syntax_line_edit.cpp$            std::string token_str(token.toStdString())_$0$I was looking for the way to get a C-string out of a QString, but couldn't find a (definitive) answer. If this is it I gladly change it._
ui/qt/widgets/syntax_line_edit.cpp$            std::string token_str(token.toStdString())_$0$This is the way we do it all other places. Have a look at our qstring_strdup() in qt_ui_utils.cpp_
ui/qt/widgets/syntax_line_edit.cpp$            std::string token_str(token.toStdString())_$1$Looking at it in more detail, I think I'll have to use qstring_strdup() as well, instead of keeping the pointer to the QByteArray.constData(). Reason is that the QByteArray is a temporary object, IIRC, so the pointer would be invalid after this line.  _  _ Anywhere else this construct is used in function parameters, with only one exception in tap_parameter_dialog.cpp, which I think suffers from the same bug._
ui/qt/widgets/syntax_line_edit.cpp$            std::string token_str(token.toStdString())_$0$One more question: why doesn't qstring_strdup() take a reference to QString q_string?_
ui/qt/widgets/syntax_line_edit.cpp$            char *dot = strchr(token_copy, '.')_$0$What about using C++ to do your string handling here?_
ui/qt/widgets/syntax_line_edit.cpp$            char *dot = strchr(token_copy, '.')_$1$Done_
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" may have unexpected results. """$0$We may also want to update the ChWorkBuildDisplayFilterMistake section in WSUG_chapter_work.adoc after this textual change._
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" may have unexpected results. """$1$Done_
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" is deprecated and may have unexpected results. """$0$"The User's Guide doesn't explicitly state that ""!="" or ""ne"" is deprecated, and I don't think the operator is actually deprecated, so I would say this should be changed to ""%1 may have unexpected results"" as I did in patch #2._"
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" is deprecated and may have unexpected results. """$0$Looks like it. I'll change the text._
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" is deprecated and may have unexpected results. """$0$"I think we just use the same mechanism for both ""!=""/""ne"" and renamed protocol abbreviations._"
ui/qt/widgets/syntax_line_edit.cpp$"                syntax_error_message_ = tr(""\""%1\"" is deprecated and may have unexpected results. """$0$I had a similar question. But if that is true, dfilter_deprecated_tokens shouldn't have returned a value?_
ui/qt/widgets/syntax_line_edit.cpp$            header_field_info *hfinfo = proto_registrar_get_byalias(alias)_$0$"Maybe we can use this pointer to determine if ""depr"" is deprecated or if it may have unexpected results: _ * If hfinfo is valid then it's probably a deprecated field. _ * If hfinfo is NULL then it's probably ""may have unexpected results""._"
ui/qt/widgets/syntax_line_edit.cpp$            header_field_info *hfinfo = proto_registrar_get_byalias(alias)_$0$Thanks for having a look. Indeed the returned hfinfo pointer is not usable as-is. I will look into your suggestion._
epan/dissectors/packet-quic.c$ * Extension :$0$Drop the space before the colon (or just remove these lines?)_
.gitlab-ci.yml$  image: debian:stable$0$Why aren't you using the ubuntu image other jobs use?_
.gitlab-ci.yml$    - apt-get update -qq$1$This is not required. Already done by the install script._
.gitlab-ci.yml$    - dpkg-buildpackage -b --no-sign -Jauto > /dev/null 2>&1 || dpkg-buildpackage -b --no-sign --no-pre-clean$0$"The build output is 8M, GL seems limited to 4M. What about just redirecting standard output to /dev/null while preserving stderr? That will contain the most interesting part anyway. _  _ typo: ""exceed"". Gitlab is capitalized. Might be worth pointing out that Gitlab just truncates the log, it does not appear to fail the build because of that: https://gitlab.com/gitlab-com/support-forum/issues/2790_"
.gitlab-ci.yml$    - dpkg-buildpackage -b --no-sign -Jauto > /dev/null 2>&1 || dpkg-buildpackage -b --no-sign --no-pre-clean$1$Even better, it appears that you can set DH_QUIET=1 to avoid the verbose Makefiles. Can you try that? _  _ Source: _ https://salsa.debian.org/debian/debhelper/blob/master/lib/Debian/Debhelper/Buildsystem/cmake.pm#L92 _ https://manpages.debian.org/buster/debhelper/debhelper.7.en.html_
tools/debian-setup.sh$"	lsb-release"""$0$Could you do this in a separate patch and include a motivation in the commit message?_
.gitlab-ci.yml$# https://about.gitlab.com/2016/10/12/automated-debian-package-build-with-gitlab-ci/$0$Could you remove these comments? The config is pretty self-explanatory and you have already mentioned it in the commit message_
.gitlab-ci.yml$build-debian-deb:$0$an you follow the names of other sections? E.g.: _  _  build:debian-stable_
.gitlab-ci.yml$    - apt-get install -y lsb-release libbrotli-dev$0$libbrotli-dev is already installed by debian-setup and not needed. For lsb-release, could you create a new patch that adds it to DEBDEPS_LIST? The reason for the dependency is use of lsb_release in debian/rules. It used to be there to handle building for older distros (such as Ubuntu 12.04 precise), but it is currently unused however._
.gitlab-ci.yml$"    - dpkg-buildpackage -b --no-sign -J$(nproc) > /dev/null 2>&1 || dpkg-buildpackage -b --no-sign -J$(nproc) --no-pre-clean "$0$"please replace -J$(nproc) by -jauto since we support parallel builds: https://manpages.debian.org/buster/dpkg-dev/dpkg-buildpackage.1.en.html _  _ Why do you build twice?_"
epan/dissectors/packet-f5ethtrailer.c$                if (ver == 1 && ets_changed) {$0$I think Petri Dish is going to continue to choke here? _  _ AFAICT this won't be used uninitialized, because if ver == 1, it was assigned a value above._
epan/dissectors/packet-f5ethtrailer.c$                if (ver == 1 && ets_changed) {$0$set a default value to ets_changed..._
ui/packet_range.c$        for(framenum = 1_ framenum <= range->cf->count_ framenum++) {$0$"Add space between ""for"" and ""(""._"
ui/packet_range.c$        for(framenum = 1_ framenum <= range->cf->count_ framenum++) {$1$Done_
ui/packet_range.c$    if ( range->process == range_process_selected && range->selection_range == NULL ) {$0$"Please don't randomly add space after ""("" and before "")"", this makes the code harder to read. Follow the convention in the file._"
ui/packet_range.c$    if ( range->process == range_process_selected && range->selection_range == NULL ) {$1$Done, just fyi - I don't randomly add them, I am just used to the style in the Qt classes, but I will try to be more careful_
ui/packet_range.c$    if ( range->process == range_process_selected && range->selection_range == NULL ) {$0$In the Qt code it seems to be added randomly, and this makes the code harder to read because of inconsistent styles._
ui/qt/export_dissection_dialog.cpp$    packet_range_group_box_.initRange(&print_args_.range, range)_$0$Is range here selRange? The code is a bit hard to read with two different range._
ui/qt/export_dissection_dialog.cpp$    packet_range_group_box_.initRange(&print_args_.range, range)_$1$Ack, has been renamed to selRange here as well_
ui/qt/main_window.cpp$        frame_data * fdata = 0_$0$"Use ""= NULL""._"
ui/qt/main_window.cpp$        frame_data * fdata = 0_$1$Done_
ui/qt/main_window.cpp$QList<int> MainWindow::selectedRows(bool frameNum)$0$"""bool useFrameNum"" as in packet_list.cpp?_"
ui/qt/main_window.cpp$QList<int> MainWindow::selectedRows(bool frameNum)$1$Done_
ui/qt/main_window.h$    QList<int> selectedRows(bool frameNum = false)_$0$bool useFrameNum_
ui/qt/main_window.h$    QList<int> selectedRows(bool frameNum = false)_$1$Done_
ui/qt/main_window.ui$     <height>21</height>$0$Is this a needed change?_
ui/qt/main_window.ui$     <height>21</height>$0$Nope, seemed to be the designer's doing_
ui/qt/models/packet_list_model.cpp$        if (!record) continue_$0$"Please add newline before ""return"", it makes debugging easier._"
ui/qt/models/packet_list_model.cpp$        if (!record) continue_$1$Done, but this is continue _-)_
ui/qt/models/packet_list_model.cpp$        if (!fdata) continue_$0$"Please add newline before ""return""._"
ui/qt/models/packet_list_model.cpp$        if (!fdata) continue_$1$Done_
ui/qt/models/packet_list_model.cpp$void PacketListModel::toggleFrameIgnore(const QModelIndexList &fm_indeces)$0$This should be &i_indeces to align with other toggleFrame* functions._
ui/qt/models/packet_list_model.cpp$void PacketListModel::toggleFrameIgnore(const QModelIndexList &fm_indeces)$1$Done_
ui/qt/models/packet_list_model.cpp$        if (!record) continue_$0$"Please add newline before ""return""._"
ui/qt/models/packet_list_model.cpp$        if (!record) continue_$1$Done_
ui/qt/models/packet_list_model.cpp$        if (!fdata) continue_$0$"Please add newline before ""return""._"
ui/qt/models/packet_list_model.cpp$        if (!fdata) continue_$1$Done_
ui/qt/models/packet_list_model.h$    void toggleFrameIgnore(const QModelIndexList &fm_indeces)_$0$This should be &i_indeces_
ui/qt/models/packet_list_model.h$    void toggleFrameIgnore(const QModelIndexList &fm_indeces)_$0$Just renamed it to indeces_
ui/qt/packet_list.cpp$    if (!currentIndex().isValid()) return_$0$"Please add newline before ""return"", it makes debugging easier._"
ui/qt/packet_list.cpp$    if (!currentIndex().isValid()) return_$1$Done_
ui/qt/packet_list.cpp$    if (!ca) return_$0$"Please add newline before ""return""._"
ui/qt/packet_list.cpp$    if (!ca) return_$1$Done_
ui/qt/packet_range_group_box.cpp$"        pr_ui_->selectedCapturedLabel->setText(""0"")_"$0$"Put this code in the else part of ""if (can_select)"" block above._"
ui/qt/packet_range_group_box.cpp$"        pr_ui_->selectedCapturedLabel->setText(""0"")_"$1$Done_
ui/qt/packet_range_group_box.cpp$        pr_ui_->selectedCapturedLabel->setText(QString::number(range_->selection_range_cnt))_$0$"Put this code in the ""if (can_select)"" block above._"
ui/qt/packet_range_group_box.cpp$        pr_ui_->selectedCapturedLabel->setText(QString::number(range_->selection_range_cnt))_$1$Done_
ui/qt/print_dialog.cpp$    pd_ui_->rangeGroupBox->initRange(&print_args_.range, range)_$0$Is range here selRange?_
ui/qt/print_dialog.cpp$    pd_ui_->rangeGroupBox->initRange(&print_args_.range, range)_$1$Yes, Done_
ui/qt/proto_tree.cpp$$0$Remove unneeded empty line._
ui/qt/proto_tree.cpp$$1$Done_
ui/qt/packet_range_group_box.cpp$    if (!can_select) {$0$"This code can be moved to the ""if (can_select)"" blocks above._"
ui/qt/models/related_packet_delegate.cpp$        MainWindow * mw = qobject_cast<MainWindow *>(wsApp->mainWindow())_$0$Do you need to do this cast twice? _ Why not just do this cast once and check  _  _   if ( mw && mv->selectedRows().count() > 1 )_
ui/qt/models/related_packet_delegate.cpp$        MainWindow * mw = qobject_cast<MainWindow *>(wsApp->mainWindow())_$0$We could do that, but it does not make any difference timing wise._
ui/qt/packet_list.cpp$#include <QDebug>$0$Why QDebug?_
ui/qt/packet_list.cpp$#include <QDebug>$0$Because I am blind_
epan/dissectors/packet-quic.c$#define FT_TIME_STAMP           0x02F5$0$Add link to IETF draft in comment?_
ui/qt/models/decode_as_delegate.cpp$        editor = cb_editor_$0$should not we have a break here?_
ui/qt/models/decode_as_delegate.cpp$        editor = cb_editor_$1$Done_
ui/qt/models/decode_as_delegate.cpp$        }$0$should not we have a break here?_
ui/qt/models/decode_as_delegate.cpp$        }$1$Done_
ui/qt/models/decode_as_delegate.cpp$        editor = cb_editor_$0$should not we have a break here?_
ui/qt/models/decode_as_delegate.cpp$        editor = cb_editor_$1$Done_
epan/dissectors/packet-quic.c$"            expert_add_info_format(pinfo, ti_ft, &ei_quic_ft_unknown, ""Unknown Frame Type %u"", (guint32)frame_type)_"$0$"This is a 62-bit namespace, see https://tools.ietf.org/html/draft-ietf-quic-transport-27#section-22.3 _  _ Change %u to: _  _  %#"" G_GINT64_MODIFIER ""x _  _ and drop the typecast. Displaying it as hexadecimal is consistent with _ https://tools.ietf.org/html/draft-ietf-quic-transport-27#page-73_"
epan/dissectors/packet-quic.c$"            expert_add_info_format(pinfo, ti_ft, &ei_quic_ft_unknown, ""Unknown Frame Type %u"", (guint32)frame_type)_"$1$Thanks Peter for fix (and yes, it is better to use hex)_
.github/workflows/macos.yml$      - name: mkdir$0$this task don't test with majuscule_
.github/workflows/macos.yml$      - name: Cmake$0$cmake ?_
.github/workflows/macos.yml$      - name: Cmake$0$It's just the label. I used capital names everywhere._
.github/workflows/macos.yml$      - name: Cmake$0$I don't understand. The task name is Cmake everywhere._
.github/workflows/macos.yml$      - name: Cmake$0$not here..._
epan/dissectors/packet-usb-audio.c$static gint dissect_ac_if_selector_unit(tvbuff_t *tvb, gint offset, packet_info *pinfo _U_, proto_tree *tree, usb_conv_info_t *usb_conv_infoi _U_)$0$"Is the ""i"" in ""usb_conv_infoi"" a typo?_"
epan/dissectors/packet-usb-audio.c$    ti = proto_tree_add_item(tree, hf_ac_if_su_sourceids, tvb, offset, nrinpins, ENC_NA)_$1$This shows in the dissection tree as follows: _  _ Source IDs: 0a0c0e _     Source ID: 10 _     Source ID: 12 _     Source ID: 14 _  _ It would be better to display as: _  _ Source IDs: 10, 12, 14 _     Source ID: 10 _     Source ID: 12 _     Source ID: 14_
ui/qt/models/profile_model.cpp$            if (fentry.fileName().length() <= 0)$0$This prevents the crash, but does not fix the underlying issue. On Windows, there is only one entry in the entries list - and that entry has empty fileName(). This entry is the directory name. _  _ It looks that the bug that should be fixed is in filterProfilePath(), but I still need to compare the path the code takes when importing zip on Linux vs Windows. Hopefully the zip import works on Linux._
epan/dissectors/packet-smb2.c$	if (!(val->frame_beg <= key->frame_key&&key->frame_key <= val->frame_end))$0$style suggestions: _ - Add spaces around '&&' _ - Put the following block between braces for consistency with the above. (if (...) { ..._ })_
epan/dissectors/packet-ftdi-mpsse.c$"        return g_strdup_printf(""%.12g GHz"", freq / 1e9)_"$0$Coverity Scan will most likely mark this as dead code._
epan/dissectors/packet-ftdi-mpsse.c$    } else {$0$Please keep the style used within the file._
epan/dissectors/packet-ftdi-mpsse.c$"        proto_item_append_text(item, "", TCK Max: %s (12 MHz master clock) or %s (60 MHz master clock)"", str_old, str)_"$0$As 60 MHz master clock is default, I would swap these two._
epan/dissectors/packet-ftdi-mpsse.c$            FT_UINT16, BASE_DEC, NULL, 0x0,$1$It might be good to use BASE_HEX, as it is listed in the table in AN_108 in hex._
epan/dissectors/packet-ftdi-mpsse.c$static gint freq_to_str(gchar* str, guint size, gfloat freq)$0$You can return gchar * here allocated with g_strdup_printf(), instead of passing fixed size buffer._
epan/dissectors/packet-ftdi-mpsse.c$static gint freq_to_str(gchar* str, guint size, gfloat freq)$0$Yes, the g_free() should be added if using g_strdup_printf(). There are no macros to do this automatically, and I don't really think a macro is needed anyway._
epan/dissectors/packet-ftdi-mpsse.c$static gint freq_to_str(gchar* str, guint size, gfloat freq)$0$But then we need to handle deallocation. Are there any macros do this automatically?_
epan/dissectors/packet-ftdi-mpsse.c$    } else if (freq < 1e6)$0$When editing Wireshark source code, please adhere to the style used within the file. In this file, the else is placed on separate line._
epan/dissectors/packet-ftdi-mpsse.c$        if (mpsse_info->chip != FTDI_CHIP_FT2232D)$0$The condition here is wrong. Right now, it won't add the Clock only if the target device is FT2232D._
epan/dissectors/packet-ftdi-mpsse.c$        if (mpsse_info->chip != FTDI_CHIP_FT2232D)$0$Ah sorry, I was testing and forgot to change back._
epan/dissectors/packet-ftdi-mpsse.c$"            proto_item_append_text(item, "", Clock: %s"", str)_"$0$"Instead of ""Clock"", it would be more appripriate to use ""TCK/SK Max"" as used in the AN_108._"
epan/dissectors/packet-ftdi-mpsse.c$        }$0$"For H-series chips, you could do ""TCK Max: %s or %s"", freq_not_divided, freq_if_divided. In the future we could just link (via generated fields) to the packets that enable/disable the divisor._"
epan/dissectors/packet-ftdi-mpsse.c$        case CMD_CLOCK_SET_DIVISOR: case 0x8F: case 0x9C: case 0x9D: case 0x9E:$0$"The (not really stated) style here is to have the defines in its own line, while grouping the ""hex only"" in single line._"
epan/dissectors/packet-ftdi-mpsse.c$            FT_UINT16, BASE_DEC, NULL, 0x0,$1$It might be good to use BASE_HEX, as it is listed in the table in AN_108 in hex._
epan/dissectors/packet-ftdi-mpsse.c$#define CMD_CLOCK_SET_DIVISOR         0x86$0$CMD_SET_CLOCK_DIVISOR would match the convention._
epan/dissectors/packet-ftdi-mpsse.c$#define CMD_CLOCK_SET_DIVISOR         0x86$0$"I didn't really think of it in such way! The ""convention"" I used is simply ""reflect the word order in command headline in AN_108""._"
epan/dissectors/packet-ftdi-mpsse.c$#define CMD_CLOCK_SET_DIVISOR         0x86$0$Isn't the convention CMD_{command domain?}_{command description}? _  _ Like we have bellow: _ CMD_CPUMODE_READ_SHORT_ADDR _ CMD_CPUMODE_READ_EXT_ADDR _ ... _  _ I can change, I just thought this was the convention. And IMO it makes it easier to read when you have a bunch of definitions. _  _ I can change, just let me know if this really what you want._
epan/dissectors/packet-ftdi-mpsse.c$"    {0x86, ""Set TCK/SK Divisor""},"$0$Please change the 0x86 to define value here._
epan/dissectors/packet-ftdi-mpsse.c$    if (freq >= 0 && freq < 1e3)$0$The check for positive values here might not be necessary. If negative value would be passed (here it can't really happen), it would display it in KHz regardless of value order of magnitude._
ui/macosx/sparkle_bridge.m$// this doesn't work for me (gcc) here.$0$If anyone wants to test this, they can do so by switching back to checkForUpdatesInBackground above and setting gui.update.channel to DEVELOPMENT, which currently returns version 9.9.9 for macOS._
ui/macosx/sparkle_bridge.m$// this doesn't work for me (gcc) here.$0$This appears to be due to Autoupdate.app not being signed._
ui/qt/models/packet_list_record.cpp$        read_failed_ = true_$0$It should be reset somewhere._
epan/dissectors/packet-usb-audio.c$            nrchannels = tvb_get_guint8(tvb,offset)_$0$You might use proto_tree_add_item_ret_uint() to get the value (as guint32) instead of accessing it twice from tvb._
epan/dissectors/packet-usb-audio.c$            proto_tree_add_item(tree, hf_as_if_ft_nrchannels, tvb, offset, 1, ENC_LITTLE_ENDIAN)_$0$Save the return value as it will be needed to add expert info under the item value._
epan/dissectors/packet-usb-audio.c$                break_$0$Instead of breaking when the value is incorrect, actually add the expert info using expert_add_info(pinfo, item, &ei_usb_audio_invalid_type_3_ft_nrchannels)._
epan/dissectors/packet-usb-audio.c$    }_$0$"Here you can register new ei values for the invalid values., _ e.g. _ { &ei_usb_audio_invalid_type_3_ft_nrchannels, {""usbaudio.as_if_ft.bNrChannels.invalid_value"", PI_MALFORMED, PI_ERROR, ""bNrChannels must be 2 for Type III Format Type descriptors"", EXPFILL }},_"
epan/dissectors/packet-usb-audio.c$        case 3:$0$It would be great if you checked the Number Channels, Subframe Size and Bit Resolution for the required values in type 3 format (respectively 2, 2 and 16). If the values do not match, then add expert info warning._
epan/dissectors/packet-pfcp.c$    /* Oct 5 The Port Management Information field shall be encoded as an Octet String. */$0$OctetString = Binary data = FT_BYTES :-)_
epan/dissectors/packet-pfcp.c$    /* Oct 5 The Port Management Information field shall be encoded as an Octet String. */$1$Done_
epan/dissectors/packet-teap.c$dissect_pac_attr(tvbuff_t *tvb, packet_info *pinfo _U_, proto_tree *tree _U_, int offset)$0$remove _U_ from tree_
epan/dissectors/packet-teap.c$dissect_pac_attr(tvbuff_t *tvb, packet_info *pinfo _U_, proto_tree *tree _U_, int offset)$1$Done_
epan/dissectors/packet-teap.c$dissect_teap_tlv_pac(tvbuff_t *tvb, packet_info *pinfo _U_, proto_tree *tree _U_, int offset, guint16 len)$0$remove _U_ from pinfo and tree_
epan/dissectors/packet-teap.c$dissect_teap_tlv_pac(tvbuff_t *tvb, packet_info *pinfo _U_, proto_tree *tree _U_, int offset, guint16 len)$1$Done_
epan/dissectors/packet-teap.c$"      val_to_str(type, teap_tlv_type_vals, ""Unknown""), type)_"$0$"val_to_str_const since ""Unknown"" is static memory with no format specifiers (%x for example)_"
epan/dissectors/packet-teap.c$"      val_to_str(type, teap_tlv_type_vals, ""Unknown""), type)_"$1$Done_
epan/dissectors/packet-teap.c$      }$0$are 20 bytes for other flags cases deliberately skipped? Maybe add a TODO comment. _ Use of proto_tree_add_item has as side-effect that an exception occurs if this number of data is not available_
epan/dissectors/packet-teap.c$      }$0$"""flags"" indicate which fields (EMSK/MSK) are used. Based on actual capture files from hostap hwsim test cases I found that 20 bytes of data is there for each field even when a field is not used. When not used the field is just filled with zero-data._"
tools/macos-setup-brew.sh$	doxygen libsmi spandsp brotli minizip zstd libssh libilbc speexdsp gettext qt5$0$link other tools make be add optional parameter ?_
tools/macos-setup-brew.sh$	doxygen libsmi spandsp brotli minizip zstd libssh libilbc speexdsp gettext qt5$0$Yes !_
tools/macos-setup-brew.sh$	doxygen libsmi spandsp brotli minizip zstd libssh libilbc speexdsp gettext qt5$0$Do you mean make this script more complex by adding --install-optional?_
tools/macos-setup-brew.sh$	doxygen libsmi spandsp brotli minizip zstd libssh libilbc speexdsp gettext qt5$0$That would be great, but it needs a mac development machine to work on, and I don't have one. It's a pain in the neck to do such a change just using builders. For that reason I'm not doing it at the moment. Maybe in the future but not now. _  _ I'd move this change forward anyway though, because I'm going to push a configuration file for github actions (CI) that requires those missing packages._
tools/macos-setup-brew.sh$#  tab-width: 8$0$why exit 0 ?_
tools/macos-setup-brew.sh$#  tab-width: 8$1$This is a nasty step. brew when a packages is already installed returns with non-zero. In different builders (like the one I'm working on) some packages can be there. The previous version worked because qt was installed in a subsequent command, and was unlikely already installed, so the script returned 0. I haven't found a way to return 0 even if some packages are already installed and then the idea of always return 0._
epan/dissectors/packet-lacp.c$        } else {$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
epan/dissectors/packet-lacp.c$            /* Not the HP specific extras.  Don't claim the remaining data.  It may actually be an ethernet trailer. */$0$This maybe should remove the else, leave the store to offset and be adjusted to: _  _         offset += 2_ _     } _ } _ set_actual_length(tvb, offset)_ _ proto_item_set_len(lacp_item, tvb_captured_length(tvb))_ _ return tvb_captured_length(tvb)_ _  _ Presumably, there could still be bytes after the HP specific bytes?_
